postcode,latitude,longitude
200,-35.2777,149.1189
221,-35.3049,149.1412
2540,-35.1627,150.6907
2600,-35.3126,149.1278
2601,-35.2813,149.1293
2602,-35.2446,149.1447
2603,-35.3262,149.1191
2604,-35.3357,149.1492
2605,-35.3327,149.0949
2606,-35.3525,149.1128
2607,-35.3686,149.1156
2608,-35.31,149.1933
2609,-35.3201,149.207
2610,-35.2778,149.0111
2611,-35.3497,149.0493
2612,-35.2891,149.1538
2614,-35.2601,149.0657
2615,-35.1917,149.0453
2616,-35.2167,149.0833
2617,-35.2175,149.077
2618,-35.1685,149.0683
2620,-35.3855,149.1658
2900,-35.4183,149.0666
2901,-35.4333,149.15
2902,-35.3862,149.058
2903,-35.3998,149.0888
2904,-35.405,149.1166
2905,-35.4283,149.088
2906,-35.4593,149.1042
2911,-35.2145,149.1293
2912,-35.1867,149.1362
2913,-35.167,149.0947
2914,-35.1623,149.1386
1001,-33.8678,151.2073
1002,-33.8678,151.2073
1003,-33.8678,151.2073
1004,-33.8678,151.2073
1005,-33.8678,151.2073
1006,-33.8678,151.2073
1007,-33.8678,151.2073
1008,-33.8678,151.2073
1009,-33.8678,151.2073
1010,-33.8678,151.2073
1011,-33.8678,151.2073
1020,-33.8678,151.2073
1021,-33.8678,151.2073
1022,-33.8678,151.2073
1023,-33.8678,151.2073
1025,-33.8678,151.2073
1026,-33.8678,151.2073
1027,-33.8678,151.2073
1028,-33.8678,151.2073
1029,-33.8678,151.2073
1030,-33.8678,151.2073
1031,-33.8678,151.2073
1032,-33.8678,151.2073
1033,-33.8678,151.2073
1034,-33.8678,151.2073
1035,-33.8678,151.2073
1036,-33.8678,151.2073
1037,-33.8678,151.2073
1038,-33.8678,151.2073
1039,-33.8678,151.2073
1040,-33.8678,151.2073
1041,-33.8678,151.2073
1042,-33.8678,151.2073
1043,-33.8678,151.2073
1044,-33.8678,151.2073
1045,-33.8678,151.2073
1046,-33.8678,151.2073
1100,-33.8678,151.2073
1101,-33.8678,151.2073
1105,-33.8678,151.2073
1106,-33.8678,151.2073
1107,-33.8678,151.2073
1108,-33.8678,151.2073
1109,-33.8678,151.2073
1110,-33.8678,151.2073
1112,-33.8678,151.2073
1113,-33.8678,151.2073
1114,-33.8678,151.2073
1115,-33.8678,151.2073
1116,-33.8678,151.2073
1117,-33.8678,151.2073
1118,-33.8678,151.2073
1119,-33.8678,151.2073
1120,-33.8678,151.2073
1121,-33.8678,151.2073
1122,-33.8678,151.2073
1123,-33.8678,151.2073
1124,-33.8678,151.2073
1125,-33.8678,151.2073
1126,-33.8678,151.2073
1127,-33.8678,151.2073
1128,-33.8678,151.2073
1129,-33.8678,151.2073
1130,-33.8678,151.2073
1131,-33.8678,151.2073
1132,-33.8678,151.2073
1133,-33.8678,151.2073
1134,-33.8678,151.2073
1135,-33.8678,151.2073
1136,-33.8678,151.2073
1137,-33.8678,151.2073
1138,-33.8678,151.2073
1139,-33.8678,151.2073
1140,-33.8678,151.2073
1141,-33.8678,151.2073
1142,-33.8678,151.2073
1143,-33.8678,151.2073
1144,-33.8678,151.2073
1145,-33.8678,151.2073
1146,-33.8678,151.2073
1147,-33.8678,151.2073
1148,-33.8678,151.2073
1149,-33.8678,151.2073
1150,-33.8678,151.2073
1151,-33.8678,151.2073
1152,-33.8678,151.2073
1153,-33.8678,151.2073
1154,-33.8678,151.2073
1155,-33.8678,151.2073
1156,-33.8678,151.2073
1157,-33.8678,151.2073
1158,-33.8678,151.2073
1159,-33.8678,151.2073
1160,-33.8678,151.2073
1161,-33.8678,151.2073
1162,-33.8678,151.2073
1163,-33.8678,151.2073
1164,-33.8678,151.2073
1165,-33.8678,151.2073
1166,-33.8678,151.2073
1167,-33.8678,151.2073
1168,-33.8678,151.2073
1169,-33.8678,151.2073
1170,-33.8678,151.2073
1171,-33.8678,151.2073
1172,-33.8678,151.2073
1173,-33.8678,151.2073
1174,-33.8678,151.2073
1175,-33.8678,151.2073
1176,-33.8678,151.2073
1177,-33.8678,151.2073
1178,-33.8678,151.2073
1179,-33.8678,151.2073
1180,-33.8678,151.2073
1181,-33.8678,151.2073
1182,-33.8678,151.2073
1183,-33.8678,151.2073
1184,-33.8678,151.2073
1185,-33.8678,151.2073
1186,-33.8678,151.2073
1187,-33.8678,151.2073
1188,-33.8678,151.2073
1189,-33.8678,151.2073
1190,-33.8678,151.2073
1191,-33.8678,151.2073
1192,-33.8678,151.2073
1193,-33.8678,151.2073
1194,-33.8678,151.2073
1195,-33.8678,151.2073
1196,-33.8678,151.2073
1197,-33.8678,151.2073
1198,-33.8678,151.2073
1199,-33.8678,151.2073
1200,-33.8678,151.2073
1201,-33.8678,151.2073
1202,-33.8678,151.2073
1203,-33.8678,151.2073
1204,-33.8678,151.2073
1205,-33.8678,151.2073
1206,-33.8678,151.2073
1207,-33.8678,151.2073
1208,-33.8787,151.2053
1209,-33.8691,151.2071
1210,-33.8707,151.2068
1211,-33.8707,151.2068
1212,-33.8707,151.2068
1213,-33.8707,151.2068
1214,-33.8707,151.2068
1215,-33.8707,151.2068
1216,-33.8707,151.2068
1217,-33.8707,151.2068
1218,-33.8707,151.2068
1219,-33.8707,151.2068
1220,-33.8707,151.2068
1221,-33.8707,151.2068
1222,-33.8707,151.2068
1223,-33.8707,151.2068
1224,-33.8707,151.2068
1225,-33.8707,151.2068
1226,-33.8707,151.2068
1227,-33.8707,151.2068
1228,-33.8707,151.2068
1229,-33.8707,151.2068
1230,-33.8787,151.2053
1231,-33.8787,151.2053
1232,-33.8787,151.2053
1233,-33.8787,151.2053
1234,-33.8787,151.2053
1235,-33.8787,151.2053
1236,-33.8787,151.2053
1237,-33.8787,151.2053
1238,-33.8787,151.2053
1239,-33.8787,151.2053
1240,-33.8787,151.2053
1291,-33.8678,151.2073
1292,-33.8678,151.2073
1293,-33.8678,151.2073
1294,-33.8678,151.2073
1295,-33.8678,151.2073
1296,-33.8678,151.2073
1297,-33.8678,151.2073
1298,-33.8678,151.2073
